HP-WET-ID,힐스,i/d 반려묘용 습식사료(치킨 파테) 156 g,wet,adult_1_7y,110,156,prescription,digestive,"정제수,돼지고기(간),닭고기,쌀,감자단백질,아마씨,어유,황산칼슘,계유,천연착향료(닭간,가수분해닭고기),피칸껍질,구아검,염화칼륨,제이인산칼슘,건조사탕무박,건조감귤박,가공소금,비타민류합제(비타민E,비타민B1질산염),염화콜린,타우린,크랜베리,DL-메치오닌,산화마그네슘,미량광물질류합제(황산제일철,산화아연),베타카로틴","단백질 37.3%, 지방 24.1%, 조섬유 1.7%, 칼슘 1.18%, 인 0.8%, 마그네슘 0.093%, 타우린 0.34%"
HP-WET-ID-CHIC-AND-VEGE,힐스,힐스 프리스크립션 다이어트 i/d 치킨&amp;채소 스튜 반려묘용 습식사료 82 g,wet,adult_1_7y,89,82,prescription,digestive,"반려동물을위한구체적인급여방법안내는주치의선생님과상의하십시오하루권장급여량은올바른급여를위한가이드입니다.그램(g)이가장정확한측정형태이며,컵(cup)은그램으로부터추산됩니다.최선의결과를위해서최소7일동안천천히사료를변경해주십시오프리스크립션다이어트건사료,습식사료를단독급여하십시오항상신선한물을준비하십시오주치의선생님께반려동물의상태를모니터링하도록요청하십시오사용하지않은부분은밀봉하여냉장보관하십시오","단백질 39.3%, 지방 24.1%, 조섬유 1.8%, 칼슘 1.17%, 인 0.8%, 마그네슘 0.1%, 타우린 0.43%"
HP1810-KD,힐스,힐스 프리스크립션 다이어트 k/d 반려묘용 건사료(치킨) 1.81kg,dry,adult_1_7y,408,,prescription,kidney,"닭고기,현미,옥수수글루텐박,통밀,계유,쌀,완두콩단백,닭간향료,분말셀룰로오스,계란,밀글루텐,대두유,어유,젖산,황산칼슘,구연산칼륨,L-아르기닌,탄산칼슘,L-라이신,염화콜린,DL-메티오닌,L-트레오닌,비타민제(비타민E,비타민C),타우린,염화칼륨,정제소금,미량광물질류합제(황산제일철,산화아연),L-카르니틴,L-트립토판,d-토코페롤,천연향료,베타카로틴","단백질 28.9%, 지방 23%, 조섬유 3.1%, 칼슘 0.83%, 인 0.54%, 마그네슘 0.078%, 타우린 0.25%, ME 4083 kcal/kg (건조물 기준)"
HP1500-META,힐스,메타볼릭 반려묘용 건사료(치킨) 1.5kg,dry,adult_1_7y,340,,prescription,weight,"닭부산물건조분,쌀,옥수수글루텐박,분말셀룰로오스,토마토박,아마씨,계유,밀글루텐,사탕무박,천연향료(닭간),코코넛오일,젖산,황산칼슘,L-라이신,염화칼륨,당근,염화콜린,DL-메티오닌,비타민제(비타민E,비타민C),타우린,정제소금,미량광물질류합제(황산망간,황산제일철),L-카르니틴,d-토코페롤(혼합형),천연향료,베타카로틴","단백질 38.6%, 지방 13.4%, 조섬유 9.8%, 칼슘 1.03%, 인 0.76%, 마그네슘 0.093%, 타우린 0.35%, ME 3398 kcal/kg (건조물 기준)"
HP1500-TD,힐스,t/d 반려묘용 건사료(치킨 플레이버) 1.5kg,dry,adult_1_7y,358,,prescription,dental,"닭부산물건조분,옥수수단백질박,분말셀룰로스,통밀,계유,쌀,보리,천연착향료(닭간),젖산,대두유,염화칼륨,염화콜린,황산칼슘,비타민류합제(비타민E,비타민C),가공소금,DL-메치오닌,미량광물질류합제(황산제일철,산화아연),타우린,d-토코페롤(혼합형),천연착향료,베타카로틴","단백질 35.6%, 지방 18.3%, 조섬유 8.7%, 칼슘 0.89%, 인 0.8%, 마그네슘 0%, ME 3577 kcal/kg (건조물 기준)"
HP-WET-WD,힐스,w/d 멀티 베네핏 반려묘용 습식사료(치킨) 156 g,wet,adult_1_7y,82,156,prescription,weight,"물,돼지고기(간),돼지고기부산물,닭고기,분말셀룰로오스,밀,옥수수전분,황산칼슘,천연향료(닭간),대두유,구아검,로커스트콩검,DL-메티오닌,염화칼륨,염화콜린,카라기난,비타민제(비타민E,비타민C),타우린,L-카르니틴,미량광물질류합제(산화아연,황산제일철),베타카로틴","단백질 39.6%, 지방 13.8%, 조섬유 14.1%, 칼슘 0.86%, 인 0.67%, 마그네슘 0.062%, 타우린 0.37%"
HP3850-WD,힐스,w/d 멀티베네핏 반려묘용 건사료(치킨 플레이버) 3.85kg,dry,adult_1_7y,323,,prescription,weight,"옥수수단백질박,쌀,계육분,밀글루텐,닭고기,분말셀룰로스,통밀,통옥수수,계유,천연착향료(돼지고기),젖산,아마씨,건조사탕무박,천연착향료(닭간),대두유,염화칼륨,황산칼슘,염화콜린,가공소금,L-라이신,타우린,비타민합제(비타민E,비타민C),DL-메치오닌,L-트레오닌,미량광물질류합제(황산철,산화아연),L-카르니틴,d-토코페롤(혼합형),천연착향료,베타카로틴","단백질 41.6%, 지방 9.5%, 조섬유 6.2%, 칼슘 1.02%, 인 0.85%, 마그네슘 0.075%, 타우린 0.31%, ME 3228 kcal/kg (건조물 기준)"
HP1810-YD,힐스,y/d 반려묘용 건사료(치킨) 1.81kg,dry,adult_1_7y,401,,prescription,thyroid,"옥수수글루텐박,통옥수수,계유,분말셀룰로오스,계란,닭간향료,L-라이신,구연산칼륨,인산이칼슘,젖산,어유,황산칼슘,염화콜린,탄산칼슘,타우린,DL-메티오닌,L-트립토판,효모,L-아르기닌,비타민제(비타민E,비타민C),나이아신,비타민B1질산염,판토텐산칼슘,비타민A,리보플라빈,피리독신염산염,비타민B12,엽산,비타민D,비타민B7,미량광물질류합체(황산제일철,산화아연),L-카르니틴,d-토코페롤(혼합형),천연향료,d-토코페롤(혼합형),천연향료","단백질 35.4%, 지방 22.2%, 조섬유 3.8%, 칼슘 0.85%, 인 0.69%, 마그네슘 0.056%, ME 4005 kcal/kg (건조물 기준)"
HP-WET-ZD,힐스,z/d 하이드롤라이즈드 치킨 반려묘용 습식사료 156 g,wet,adult_1_7y,111,156,prescription,allergy,"가수분해닭고기(닭간),정제수,옥수수전분,코코넛오일,피칸껍질,탄산칼슘,어유,분말셀룰로오스,제이인산칼슘,아마씨,건조사탕무박,염화칼륨,건조감귤박,염화콜린,시스테인,가공소금,구연산칼륨,비타민류합제(비타민E,비타민C),DL-메치오닌,대두유,​​크랜베리,황산칼슘,타우린,미량광물질류합제(산화아연,황산제일철),베타카로틴","단백질 34.9%, 지방 18.9%, 조섬유 1.9%, 칼슘 0.78%, 인 0.75%, 마그네슘 0.057%, 타우린 0.42%"
HP1810-ZD,힐스,z/d 반려묘용 건사료 1.81kg,dry,adult_1_7y,385,,prescription,allergy,"쌀,가수분해닭간,쌀단백질농축액,대두유,천연착향료(닭간향),코코넛오일,피칸껍질,탄산칼슘,젖산,염화칼륨,어유,글리세릴모노스테아레이트,아마씨,건조사탕무박,건조감귤박,L-라이신,황산칼슘,L-트레오닌,제이인산칼슘,염화콜린,DL-메치오닌,크랜베리,비타민류합제(비타민E,비타민C),타우린,시스테인,가공소금,구연산칼륨,미량광물질류합제(황산제일철,산화아연),L-트립토판,d-토코페롤(혼합형),천연착향료,베타카로틴","단백질 34.3%, 지방 17.3%, 조섬유 1.4%, 칼슘 0.75%, 인 0.59%, 마그네슘 0.057%, 타우린 0.36%, ME 3847 kcal/kg (건조물 기준)"
HP-WET-ID-CHIC-VEGE-STEW,힐스,힐스 프리스크립션 다이어트 i/d 치킨&amp;채소 스튜 반려묘용 습식사료 82 g,wet,adult_1_7y,89,82,prescription,digestive,"반려동물을위한구체적인급여방법안내는주치의선생님과상의하십시오하루권장급여량은올바른급여를위한가이드입니다.그램(g)이가장정확한측정형태이며,컵(cup)은그램으로부터추산됩니다.최선의결과를위해서최소7일동안천천히사료를변경해주십시오프리스크립션다이어트건사료,습식사료를단독급여하십시오항상신선한물을준비하십시오주치의선생님께반려동물의상태를모니터링하도록요청하십시오사용하지않은부분은밀봉하여냉장보관하십시오","단백질 39.3%, 지방 24.1%, 조섬유 1.8%, 칼슘 1.17%, 인 0.8%, 마그네슘 0.1%, 타우린 0.43%"
HP1810-KD-OCEA-FISH-TUNA,힐스,k/d 반려묘용 건식사료(오션피쉬) 1.81kg,dry,adult_1_7y,408,,prescription,kidney,,"단백질 29.3%, 지방 22.5%, 조섬유 3.1%, 칼슘 0.79%, 인 0.51%, 마그네슘 0.074%, 타우린 0.27%, ME 4084 kcal/kg (건조물 기준)"
HP1580-ADUL-HAIR,힐스,어덜트 헤어볼 컨트롤 치킨 레시피 1.58kg,dry,adult_1_7y,365,,prescription,hairball,"유용한정보최적의몸무게를유지하기위해알맞은급여량을확인해야합니다.확실하지않다면수의사에게문의하십시오.새로운사료로의전환이필요하십니까?최소7일동안천천히사료를전환해주십시오.알맞은급여량을확인하셨다면,일주일동안천천히기존사료의양은줄이고,새로운사료의양을늘려주십시오.항상신선한물을준비해주십시오반려묘의각생애주기에따라필요한영양학적요구가다르므로수의사와꼭상담하십시오.최적의무게를유지하기위해필요한만큼급여양을조절하십시오.만약정확하지않다면수의사에게문의하십시오.질식사고를예방하기하여사료는반려동믈및아이들이닿지않는곳에보관하십시오","단백질 34%, 지방 18.6%, 조섬유 9%, 칼슘 0.9%, 인 0.79%, 마그네슘 0.089%, 타우린 0.22%, ME 3651 kcal/kg (건조물 기준)"
HP3170-ADUL-HAIR-LIGH,힐스,어덜트 헤어볼 컨트롤 라이트 치킨 레시피 3.17kg,dry,adult_1_7y,318,,prescription,weight,"유용한정보최적의몸무게를유지하기위해알맞은급여량을확인해야합니다.확실하지않다면수의사에게문의하십시오.새로운사료로의전환이필요하십니까?최소7일동안천천히사료를전환해주십시오.알맞은급여량을확인하셨다면,일주일동안천천히기존사료의양은줄이고,새로운사료의양을늘려주십시오.항상신선한물을준비해주십시오반려묘의각생애주기에따라필요한영양학적요구가다르므로수의사와꼭상담하십시오.최적의무게를유지하기위해필요한만큼급여양을조절하십시오.만약정확하지않다면수의사에게문의하십시오.질식사고를예방하기하여사료는반려동믈및아이들이닿지않는곳에보관하십시오","단백질 40.2%, 지방 9.7%, 조섬유 8.2%, 칼슘 0.98%, 인 0.79%, 마그네슘 0.085%, ME 3180 kcal/kg (건조물 기준)"
HP10000-ADUL-ORIG,힐스,어덜트 치킨 레시피 10kg,dry,adult_1_7y,387,,prescription,none,"닭고기,통밀,옥수수단백질박,통옥수수,계유,계육분,쌀,건조사탕무박,대두박,천연착향료(닭간),대두유,젖산,어유,황산칼슘,염화칼륨,L-라이신,가공소금,염화콜린,통귀리,프락토올리고당(FOS),비타민합제(비타민E,비타민C),타우린,미량광물질류합제(황산제일철,산화아연),d-토코페롤,천연착향료,베타카로틴","단백질 34.6%, 지방 18%, 조섬유 1.6%, 칼슘 0.84%, 인 0.77%, 마그네슘 0.093%, ME 3873 kcal/kg (건조물 기준)"
HP-WET-ADUL-PERF-DIGE-CHIC,힐스,"어덜트 퍼펙트 다이제스천 치킨, 채소 &amp; 쌀 스튜 82 g",wet,adult_1_7y,76,82,prescription,none,"닭고기육수,닭고기,돼지간,당근,쌀,쌀전분,감자단백질,시금치,계유,닭간향료,알긴산칼륨,피칸껍질,염화칼슘,인산이칼슘,아마씨,사탕무박,황산칼슘,감귤,제삼인산나트륨,호박,구아검,귀리식이섬유,염화콜린,비타민제(비타민E,비타민B1질산염,비타민C,나이아신,판토텐산칼슘,비타민B12,피리독신염산염,비타민B7,리보플라빈,메나디온중아황산나트륨,엽산,비타민D),L-라이신,타우린,크랜베리,산화마그네슘,미량광물질류합제(산화아연,이산화망간,요오드산칼슘,아셀레늄산나트륨),탄산칼슘","단백질 34.5%, 지방 18.8%, 조섬유 2.4%, 칼슘 1.2%, 인 0.79%, 마그네슘 0.095%, 타우린 0.4%"
HP-WET-ADUL-7-PLUS-HEAL,힐스,어덜트 7+헬시 퀴진 로스티드 치킨&amp;쌀 메들리 79 g,wet,senior_7y_plus,81,79,prescription,none,"유용한정보최적의몸무게를유지하기위해알맞은급여량을확인해야합니다.확실하지않다면수의사에게문의하십시오.새로운사료로의전환이필요하십니까?최소7일동안천천히사료를전환해주십시오.알맞은급여량을확인하셨다면,일주일동안천천히기존사료의양은줄이고,새로운사료의양을늘려주십시오.항상신선한물을준비해주십시오.반려묘의각생애주기에따라필요한영양학적요구가다르므로수의사와꼭상담하십시오.질식사고를예방하기하여사료는반려동믈및아이들이닿지않는곳에보관하십시오.","단백질 38%, 지방 18.8%, 조섬유 3%, 칼슘 0.89%, 인 0.62%, 마그네슘 0.056%, 타우린 0.33%"
